Type	Rank	Freq	Range	NormFreq	NormRange
el geranio	43362	1	1	1.073	0.005
el glioblastoma	43362	1	1	1.073	0.005
el gráfico	43362	1	1	1.073	0.005
el género	43362	1	1	1.073	0.005
el hambre	43362	1	1	1.073	0.005
el haz	43362	1	1	1.073	0.005
el hcp	43362	1	1	1.073	0.005
el hierro	43362	1	1	1.073	0.005
el hipo	43362	1	1	1.073	0.005
el hockey	43362	1	1	1.073	0.005
el hongo	43362	1	1	1.073	0.005
el imiquimod	43362	1	1	1.073	0.005
el implante	43362	1	1	1.073	0.005
el impulso	43362	1	1	1.073	0.005
el incidente	43362	1	1	1.073	0.005
el ingenol	43362	1	1	1.073	0.005
el injerto	43362	1	1	1.073	0.005
el insomnio	43362	1	1	1.073	0.005
el itrio	43362	1	1	1.073	0.005
el jabón	43362	1	1	1.073	0.005
el japón	43362	1	1	1.073	0.005
el jardín	43362	1	1	1.073	0.005
el jengibre	43362	1	1	1.073	0.005
el journal	43362	1	1	1.073	0.005
el juicio	43362	1	1	1.073	0.005
el ketoconazol	43362	1	1	1.073	0.005
el lactato	43362	1	1	1.073	0.005
el lavado	43362	1	1	1.073	0.005
el ldh	43362	1	1	1.073	0.005
el ligero	43362	1	1	1.073	0.005
el limón	43362	1	1	1.073	0.005
el lote	43362	1	1	1.073	0.005
el lupus	43362	1	1	1.073	0.005
el manguito	43362	1	1	1.073	0.005
el mantenimiento	43362	1	1	1.073	0.005
el maíz	43362	1	1	1.073	0.005
el mecanismo	43362	1	1	1.073	0.005
el mediastinoscopio	43362	1	1	1.073	0.005
el mediterráneo	43362	1	1	1.073	0.005
el megestrol	43362	1	1	1.073	0.005
el memorial	43362	1	1	1.073	0.005
el meningioma	43362	1	1	1.073	0.005
el mentón	43362	1	1	1.073	0.005
el mercurio	43362	1	1	1.073	0.005
el mineral	43362	1	1	1.073	0.005
el morir	43362	1	1	1.073	0.005
el moxetumomab	43362	1	1	1.073	0.005
el mth	43362	1	1	1.073	0.005
el mutismo	43362	1	1	1.073	0.005
el mycn	43362	1	1	1.073	0.005
el máximo	43362	1	1	1.073	0.005
el mínimo	43362	1	1	1.073	0.005
el necesito	43362	1	1	1.073	0.005
el nefroblastoma	43362	1	1	1.073	0.005
el neratinib	43362	1	1	1.073	0.005
el niraparib	43362	1	1	1.073	0.005
el nombra	43362	1	1	1.073	0.005
el normal	43362	1	1	1.073	0.005
el norte	43362	1	1	1.073	0.005
el noveno	43362	1	1	1.073	0.005
el núcleo	43362	1	1	1.073	0.005
el objeto	43362	1	1	1.073	0.005
el ofatumumab	43362	1	1	1.073	0.005
el oncolisado	43362	1	1	1.073	0.005
el opioide	43362	1	1	1.073	0.005
el organismo	43362	1	1	1.073	0.005
el oriente	43362	1	1	1.073	0.005
el otoscopio	43362	1	1	1.073	0.005
el padecimiento	43362	1	1	1.073	0.005
el pancreatoblastoma	43362	1	1	1.073	0.005
el pasar	43362	1	1	1.073	0.005
el pcpt	43362	1	1	1.073	0.005
el pecoma	43362	1	1	1.073	0.005
el pedazo	43362	1	1	1.073	0.005
el pediatra	43362	1	1	1.073	0.005
el pelo	43362	1	1	1.073	0.005
el pevonedistat	43362	1	1	1.073	0.005
el placer	43362	1	1	1.073	0.005
el plazo	43362	1	1	1.073	0.005
el plomo	43362	1	1	1.073	0.005
el ponatinib	43362	1	1	1.073	0.005
el portaobjetos	43362	1	1	1.073	0.005
el posible	43362	1	1	1.073	0.005
el presente	43362	1	1	1.073	0.005
el principio	43362	1	1	1.073	0.005
el probiótico	43362	1	1	1.073	0.005
el profesional	43362	1	1	1.073	0.005
el progreso	43362	1	1	1.073	0.005
el promedio	43362	1	1	1.073	0.005
el propranolol	43362	1	1	1.073	0.005
el prostate	43362	1	1	1.073	0.005
el protector	43362	1	1	1.073	0.005
el próximo	43362	1	1	1.073	0.005
el pulido	43362	1	1	1.073	0.005
el pulso	43362	1	1	1.073	0.005
el punto	43362	1	1	1.073	0.005
el puré	43362	1	1	1.073	0.005
el péptido	43362	1	1	1.073	0.005
el queso	43362	1	1	1.073	0.005
el rabdiomiosarcoma	43362	1	1	1.073	0.005
el radio	43362	1	1	1.073	0.005
el radiólogo	43362	1	1	1.073	0.005
el rascado	43362	1	1	1.073	0.005
el ratón	43362	1	1	1.073	0.005
el recetado	43362	1	1	1.073	0.005
el recibir	43362	1	1	1.073	0.005
el recipiente	43362	1	1	1.073	0.005
el recorrido	43362	1	1	1.073	0.005
el reduction	43362	1	1	1.073	0.005
el reflejo	43362	1	1	1.073	0.005
el regreso	43362	1	1	1.073	0.005
el remplazo	43362	1	1	1.073	0.005
el resectoscopio	43362	1	1	1.073	0.005
el retinol	43362	1	1	1.073	0.005
el reumatismo	43362	1	1	1.073	0.005
el ribociclib	43362	1	1	1.073	0.005
el ridaforólimus	43362	1	1	1.073	0.005
el rofecoxib	43362	1	1	1.073	0.005
el rostro	43362	1	1	1.073	0.005
el ruido	43362	1	1	1.073	0.005
el s	43362	1	1	1.073	0.005
el sacituzumab	43362	1	1	1.073	0.005
el samario	43362	1	1	1.073	0.005
el selinexor	43362	1	1	1.073	0.005
el sellado	43362	1	1	1.073	0.005
el selumetinib	43362	1	1	1.073	0.005
el seminoma	43362	1	1	1.073	0.005
el sentimiento	43362	1	1	1.073	0.005
el servicio	43362	1	1	1.073	0.005
el sipuleucel	43362	1	1	1.073	0.005
el smarcb	43362	1	1	1.073	0.005
el smd	43362	1	1	1.073	0.005
el sms	43362	1	1	1.073	0.005
el sobretratamiento	43362	1	1	1.073	0.005
el sobreviviente	43362	1	1	1.073	0.005
el sodio	43362	1	1	1.073	0.005
el sonidegib	43362	1	1	1.073	0.005
el suavizante	43362	1	1	1.073	0.005
el sudeste	43362	1	1	1.073	0.005
el suelo	43362	1	1	1.073	0.005
el suministro	43362	1	1	1.073	0.005
el surveillance	43362	1	1	1.073	0.005
el séptimo	43362	1	1	1.073	0.005
el tabaco	43362	1	1	1.073	0.005
el talazoparib	43362	1	1	1.073	0.005
el talco	43362	1	1	1.073	0.005
el talimogén	43362	1	1	1.073	0.005
el talón	43362	1	1	1.073	0.005
el teratoma	43362	1	1	1.073	0.005
el termograma	43362	1	1	1.073	0.005
el testamento	43362	1	1	1.073	0.005
el texto	43362	1	1	1.073	0.005
el tisagenlecleucel	43362	1	1	1.073	0.005
el toc	43362	1	1	1.073	0.005
el tofu	43362	1	1	1.073	0.005
el toque	43362	1	1	1.073	0.005
el toracoscopio	43362	1	1	1.073	0.005
el trimestre	43362	1	1	1.073	0.005
el trébol	43362	1	1	1.073	0.005
el ttra	43362	1	1	1.073	0.005
el tucatinib	43362	1	1	1.073	0.005
el umbral	43362	1	1	1.073	0.005
el valor	43362	1	1	1.073	0.005
el volumen	43362	1	1	1.073	0.005
el xeroderma	43362	1	1	1.073	0.005
el zoledronato	43362	1	1	1.073	0.005
el zumbido	43362	1	1	1.073	0.005
el árbol	43362	1	1	1.073	0.005
el énfasis	43362	1	1	1.073	0.005
el íleo	43362	1	1	1.073	0.005
elabora acth	43362	1	1	1.073	0.005
elabora análisis	43362	1	1	1.073	0.005
elabora cuando	43362	1	1	1.073	0.005
elabora esta	43362	1	1	1.073	0.005
elabora estos	43362	1	1	1.073	0.005
elabora frotis	43362	1	1	1.073	0.005
elabora gastrina	43362	1	1	1.073	0.005
elabora hormona	43362	1	1	1.073	0.005
elabora insulina	43362	1	1	1.073	0.005
elabora melatonina	43362	1	1	1.073	0.005
elabora radiografía	43362	1	1	1.073	0.005
elabora se	43362	1	1	1.073	0.005
elabora suficiente	43362	1	1	1.073	0.005
elabora tomografía	43362	1	1	1.073	0.005
elaboración suero	43362	1	1	1.073	0.005
elaborada con	43362	1	1	1.073	0.005
elaborada en	43362	1	1	1.073	0.005
elaborado con	43362	1	1	1.073	0.005
elaborado en	43362	1	1	1.073	0.005
elaboradora de	43362	1	1	1.073	0.005
elaborados a	43362	1	1	1.073	0.005
elaborados por	43362	1	1	1.073	0.005
elaboran algunos	43362	1	1	1.073	0.005
elaboran con	43362	1	1	1.073	0.005
elaboran distintas	43362	1	1	1.073	0.005
elaboran gastrina	43362	1	1	1.073	0.005
elaboran glucagón	43362	1	1	1.073	0.005
elaboran hormona	43362	1	1	1.073	0.005
elaboran insulina	43362	1	1	1.073	0.005
elaboran menos	43362	1	1	1.073	0.005
elaboran moco	43362	1	1	1.073	0.005
elaboran otras	43362	1	1	1.073	0.005
elaboran otros	43362	1	1	1.073	0.005
elaboran productos	43362	1	1	1.073	0.005
elaboran proteína	43362	1	1	1.073	0.005
elaboran semen	43362	1	1	1.073	0.005
elaboran serotonina	43362	1	1	1.073	0.005
elaboran somatostatina	43362	1	1	1.073	0.005
elaboran sustancias	43362	1	1	1.073	0.005
elaboran varias	43362	1	1	1.073	0.005
elaborando demasiado	43362	1	1	1.073	0.005
elaborar anticuerpos	43362	1	1	1.073	0.005
elaborar bilis	43362	1	1	1.073	0.005
elaborar cancell	43362	1	1	1.073	0.005
elaborar ciertas	43362	1	1	1.073	0.005
elaborar combustible	43362	1	1	1.073	0.005
elaborar demasiada	43362	1	1	1.073	0.005
elaborar entelev	43362	1	1	1.073	0.005
elaborar hormona	43362	1	1	1.073	0.005
elaborar hormonas	43362	1	1	1.073	0.005
elaborar proteínas	43362	1	1	1.073	0.005
elaborar remedios	43362	1	1	1.073	0.005
elaborar suficiente	43362	1	1	1.073	0.005
elaborar sus	43362	1	1	1.073	0.005
elaborar una	43362	1	1	1.073	0.005
elaborar vitamina	43362	1	1	1.073	0.005
elaborar ácidos	43362	1	1	1.073	0.005
elaboraron dos	43362	1	1	1.073	0.005
elabore el	43362	1	1	1.073	0.005
elabore hormona	43362	1	1	1.073	0.005
elabore jugos	43362	1	1	1.073	0.005
elabore la	43362	1	1	1.073	0.005
elabore líquido	43362	1	1	1.073	0.005
elabore más	43362	1	1	1.073	0.005
elabore otras	43362	1	1	1.073	0.005
elabore un	43362	1	1	1.073	0.005
elaboren demasiado	43362	1	1	1.073	0.005
elaboren estrógeno	43362	1	1	1.073	0.005
elaboren mucha	43362	1	1	1.073	0.005
elaboren una	43362	1	1	1.073	0.005
elaboren ácido	43362	1	1	1.073	0.005
elaboró por	43362	1	1	1.073	0.005
elaboró una	43362	1	1	1.073	0.005
elaboró varios	43362	1	1	1.073	0.005
elecciones humanas	43362	1	1	1.073	0.005
elecciones personales	43362	1	1	1.073	0.005
elección personal	43362	1	1	1.073	0.005
elección se	43362	1	1	1.073	0.005
electricidad la	43362	1	1	1.073	0.005
electricidad resección	43362	1	1	1.073	0.005
electroacupuntura como	43362	1	1	1.073	0.005
electroacupuntura para	43362	1	1	1.073	0.005
electrocardiograma ekg	43362	1	1	1.073	0.005
electrocardiógrafo produce	43362	1	1	1.073	0.005
electrocardiógrafo sobre	43362	1	1	1.073	0.005
electrocauterización criocirugía	43362	1	1	1.073	0.005
electrocauterización es	43362	1	1	1.073	0.005
electrocauterización la	43362	1	1	1.073	0.005
electrocauterización observación	43362	1	1	1.073	0.005
electrocauterización se	43362	1	1	1.073	0.005
electrocirugía criocirugía	43362	1	1	1.073	0.005
electrocoagulación como	43362	1	1	1.073	0.005
electrocoagulación es	43362	1	1	1.073	0.005
electrocoagulación la	43362	1	1	1.073	0.005
electrocoagulación se	43362	1	1	1.073	0.005
electrodesecación dermoabrasión	43362	1	1	1.073	0.005
electrodesecación se	43362	1	1	1.073	0.005
electrodo colocado	43362	1	1	1.073	0.005
electrodos almohadillas	43362	1	1	1.073	0.005
electrodos dispositivos	43362	1	1	1.073	0.005
electrodos en	43362	1	1	1.073	0.005
electrodos minúsculos	43362	1	1	1.073	0.005
electrodos que	43362	1	1	1.073	0.005
electrodos se	43362	1	1	1.073	0.005
electrodos sobre	43362	1	1	1.073	0.005
electrolitos dificultad	43362	1	1	1.073	0.005
electrolitos la	43362	1	1	1.073	0.005
electrolitos los	43362	1	1	1.073	0.005
electrolitos partículas	43362	1	1	1.073	0.005
electrolitos por	43362	1	1	1.073	0.005
electrolitos que	43362	1	1	1.073	0.005
electrolitos tratamiento	43362	1	1	1.073	0.005
electrolítico también	43362	1	1	1.073	0.005
electrones cirugía	43362	1	1	1.073	0.005
electrones partículas	43362	1	1	1.073	0.005
electrones radioterapia	43362	1	1	1.073	0.005
electrones se	43362	1	1	1.073	0.005
electroporación está	43362	1	1	1.073	0.005
electroporación realice	43362	1	1	1.073	0.005
electroporación tratamiento	43362	1	1	1.073	0.005
electroquimioterapia el	43362	1	1	1.073	0.005
electroquimioterapia para	43362	1	1	1.073	0.005
electroquimioterapia se	43362	1	1	1.073	0.005
electrólitos análisis	43362	1	1	1.073	0.005
electrólitos deshidratación	43362	1	1	1.073	0.005
electrólitos examen	43362	1	1	1.073	0.005
electrónico hablar	43362	1	1	1.073	0.005
electrónico necesidades	43362	1	1	1.073	0.005
electrónico se	43362	1	1	1.073	0.005
electrónicos cigarrillos	43362	1	1	1.073	0.005
electrónicos por	43362	1	1	1.073	0.005
electrónicos repetir	43362	1	1	1.073	0.005
elefantiasis linfostática	43362	1	1	1.073	0.005
elegir a	43362	1	1	1.073	0.005
elegir el	43362	1	1	1.073	0.005
elegir entre	43362	1	1	1.073	0.005
elegir lo	43362	1	1	1.073	0.005
elegir los	43362	1	1	1.073	0.005
elegir no	43362	1	1	1.073	0.005
elegir someterse	43362	1	1	1.073	0.005
elegir usar	43362	1	1	1.073	0.005
elementos antecedentes	43362	1	1	1.073	0.005
elementos control	43362	1	1	1.073	0.005
elementos dispositivos	43362	1	1	1.073	0.005
elementos enjuagues	43362	1	1	1.073	0.005
elementos esenciales	43362	1	1	1.073	0.005
elementos líquidos	43362	1	1	1.073	0.005
eleva cuanto	43362	1	1	1.073	0.005
elevada durante	43362	1	1	1.073	0.005
elevada labio	43362	1	1	1.073	0.005
elevadas en	43362	1	1	1.073	0.005
elevadas o	43362	1	1	1.073	0.005
elevadas que	43362	1	1	1.073	0.005
elevadas áreas	43362	1	1	1.073	0.005
elevado de	43362	1	1	1.073	0.005
elevados los	43362	1	1	1.073	0.005
elevados pápulas	43362	1	1	1.073	0.005
elige a	43362	1	1	1.073	0.005
elige con	43362	1	1	1.073	0.005
elige cuidadosamente	43362	1	1	1.073	0.005
elige los	43362	1	1	1.073	0.005
elige para	43362	1	1	1.073	0.005
elige que	43362	1	1	1.073	0.005
elige un	43362	1	1	1.073	0.005
eligen empezar	43362	1	1	1.073	0.005
eligen esperar	43362	1	1	1.073	0.005
eligen sobre	43362	1	1	1.073	0.005
eligen someterse	43362	1	1	1.073	0.005
eligieron porque	43362	1	1	1.073	0.005
elija alimentos	43362	1	1	1.073	0.005
elijan la	43362	1	1	1.073	0.005
elijen recibir	43362	1	1	1.073	0.005
elijen tener	43362	1	1	1.073	0.005
elimina el	43362	1	1	1.073	0.005
elimina hormonas	43362	1	1	1.073	0.005
elimina las	43362	1	1	1.073	0.005
elimina o	43362	1	1	1.073	0.005
elimina otras	43362	1	1	1.073	0.005
eliminaba del	43362	1	1	1.073	0.005
eliminación frecuente	43362	1	1	1.073	0.005
eliminan ciertas	43362	1	1	1.073	0.005
eliminan productos	43362	1	1	1.073	0.005
eliminar mejor	43362	1	1	1.073	0.005
eliminar sustancias	43362	1	1	1.073	0.005
eliminar todo	43362	1	1	1.073	0.005
eliminar trozos	43362	1	1	1.073	0.005
eliminarlas del	43362	1	1	1.073	0.005
elimine la	43362	1	1	1.073	0.005
elimine las	43362	1	1	1.073	0.005
eliminen todas	43362	1	1	1.073	0.005
eliminó con	43362	1	1	1.073	0.005
eliminó todo	43362	1	1	1.073	0.005
elizabeth omaha	43362	1	1	1.073	0.005
ella cirugía	43362	1	1	1.073	0.005
ella curó	43362	1	1	1.073	0.005
ella había	43362	1	1	1.073	0.005
ella histerectomía	43362	1	1	1.073	0.005
ella o	43362	1	1	1.073	0.005
ella objetos	43362	1	1	1.073	0.005
ella radioterapia	43362	1	1	1.073	0.005
ella también	43362	1	1	1.073	0.005
ellas adaptación	43362	1	1	1.073	0.005
ellas antes	43362	1	1	1.073	0.005
ellas aspiración	43362	1	1	1.073	0.005
ellas en	43362	1	1	1.073	0.005
ellas la	43362	1	1	1.073	0.005
ellas presentan	43362	1	1	1.073	0.005
ellas se	43362	1	1	1.073	0.005
ellas si	43362	1	1	1.073	0.005
ellas sin	43362	1	1	1.073	0.005
ellas también	43362	1	1	1.073	0.005
ellas tendrá	43362	1	1	1.073	0.005
ellas terapia	43362	1	1	1.073	0.005
ellas y	43362	1	1	1.073	0.005
ellison algunos	43362	1	1	1.073	0.005
ellison por	43362	1	1	1.073	0.005
ello depende	43362	1	1	1.073	0.005
ello es	43362	1	1	1.073	0.005
ello incluye	43362	1	1	1.073	0.005
ello les	43362	1	1	1.073	0.005
ello permite	43362	1	1	1.073	0.005
ello que	43362	1	1	1.073	0.005
ello significa	43362	1	1	1.073	0.005
ello todo	43362	1	1	1.073	0.005
ellos ayudar	43362	1	1	1.073	0.005
ellos consideran	43362	1	1	1.073	0.005
ellos cuentan	43362	1	1	1.073	0.005
ellos el	43362	1	1	1.073	0.005
ellos escogen	43362	1	1	1.073	0.005
ellos hablan	43362	1	1	1.073	0.005
ellos informan	43362	1	1	1.073	0.005
ellos la	43362	1	1	1.073	0.005
ellos para	43362	1	1	1.073	0.005
ellos por	43362	1	1	1.073	0.005
ellos potasio	43362	1	1	1.073	0.005
ellos producen	43362	1	1	1.073	0.005
ellos pueden	43362	1	1	1.073	0.005
ellos que	43362	1	1	1.073	0.005
ellos sensación	43362	1	1	1.073	0.005
ellos signos	43362	1	1	1.073	0.005
ellos sobre	43362	1	1	1.073	0.005
ellos tanto	43362	1	1	1.073	0.005
elotuzumab quimioterapia	43362	1	1	1.073	0.005
elotuzumab son	43362	1	1	1.073	0.005
elásticas o	43362	1	1	1.073	0.005
elásticas para	43362	1	1	1.073	0.005
elásticos ajustados	43362	1	1	1.073	0.005
eléctrica débil	43362	1	1	1.073	0.005
eléctrica o	43362	1	1	1.073	0.005
eléctrica suave	43362	1	1	1.073	0.005
eléctricas pasan	43362	1	1	1.073	0.005
eléctricas y	43362	1	1	1.073	0.005
eléctricos al	43362	1	1	1.073	0.005
embarazada cuando	43362	1	1	1.073	0.005
embarazada en	43362	1	1	1.073	0.005
embarazada hasta	43362	1	1	1.073	0.005
embarazada impotencia	43362	1	1	1.073	0.005
embarazada incapacidad	43362	1	1	1.073	0.005
embarazada nunca	43362	1	1	1.073	0.005
embarazada puede	43362	1	1	1.073	0.005
embarazada recibe	43362	1	1	1.073	0.005
embarazadas amamantan	43362	1	1	1.073	0.005
embarazadas dan	43362	1	1	1.073	0.005
embarazadas en	43362	1	1	1.073	0.005
embarazadas esto	43362	1	1	1.073	0.005
embarazadas están	43362	1	1	1.073	0.005
embarazadas incluye	43362	1	1	1.073	0.005
embarazadas luego	43362	1	1	1.073	0.005
embarazadas mastectomía	43362	1	1	1.073	0.005
embarazadas no	43362	1	1	1.073	0.005
embarazadas para	43362	1	1	1.073	0.005
embarazadas por	43362	1	1	1.073	0.005
embarazadas porque	43362	1	1	1.073	0.005
embarazadas terapia	43362	1	1	1.073	0.005
embarazo anemia	43362	1	1	1.073	0.005
embarazo cambios	43362	1	1	1.073	0.005
embarazo consulte	43362	1	1	1.073	0.005
embarazo células	43362	1	1	1.073	0.005
embarazo de	43362	1	1	1.073	0.005
embarazo dependen	43362	1	1	1.073	0.005
embarazo dolor	43362	1	1	1.073	0.005
embarazo durante	43362	1	1	1.073	0.005
embarazo entre	43362	1	1	1.073	0.005
embarazo esto	43362	1	1	1.073	0.005
embarazo estos	43362	1	1	1.073	0.005
embarazo glándula	43362	1	1	1.073	0.005
embarazo hace	43362	1	1	1.073	0.005
embarazo hormona	43362	1	1	1.073	0.005
embarazo incluyen	43362	1	1	1.073	0.005
embarazo mejore	43362	1	1	1.073	0.005
embarazo parecerá	43362	1	1	1.073	0.005
embarazo períodos	43362	1	1	1.073	0.005
embarazo presentaron	43362	1	1	1.073	0.005
embarazo realice	43362	1	1	1.073	0.005
embarazo reduce	43362	1	1	1.073	0.005
embarazo sangrado	43362	1	1	1.073	0.005
embarazo si	43362	1	1	1.073	0.005
embarazo tarde	43362	1	1	1.073	0.005
embarazo temprano	43362	1	1	1.073	0.005
embarazo tubárico	43362	1	1	1.073	0.005
embarazo tumor	43362	1	1	1.073	0.005
embarazo usar	43362	1	1	1.073	0.005
embarazos a	43362	1	1	1.073	0.005
embarazos es	43362	1	1	1.073	0.005
embarazos molares	43362	1	1	1.073	0.005
embargo casi	43362	1	1	1.073	0.005
embargo cuando	43362	1	1	1.073	0.005
embargo debe	43362	1	1	1.073	0.005
embargo entre	43362	1	1	1.073	0.005
embargo este	43362	1	1	1.073	0.005
embargo estos	43362	1	1	1.073	0.005
embargo menos	43362	1	1	1.073	0.005
embargo otros	43362	1	1	1.073	0.005
embargo proporcionan	43362	1	1	1.073	0.005
embargo solo	43362	1	1	1.073	0.005
embargo también	43362	1	1	1.073	0.005
embargo todavía	43362	1	1	1.073	0.005
embolia pulmonar	43362	1	1	1.073	0.005
emboliza bloquea	43362	1	1	1.073	0.005
embolización antes	43362	1	1	1.073	0.005
embolización consiste	43362	1	1	1.073	0.005
embolización del	43362	1	1	1.073	0.005
embolización el	43362	1	1	1.073	0.005
embolización embolización	43362	1	1	1.073	0.005
embolización en	43362	1	1	1.073	0.005
embolización intraarterial	43362	1	1	1.073	0.005
embolización o	43362	1	1	1.073	0.005
embolización quimioterapia	43362	1	1	1.073	0.005
embolización se	43362	1	1	1.073	0.005
embolización tratamiento	43362	1	1	1.073	0.005
embolizar bloquear	43362	1	1	1.073	0.005
embrionario alveolar	43362	1	1	1.073	0.005
embrionario con	43362	1	1	1.073	0.005
embrionario coriocarcinoma	43362	1	1	1.073	0.005
embrionario el	43362	1	1	1.073	0.005
embrionario en	43362	1	1	1.073	0.005
embrionario este	43362	1	1	1.073	0.005
embrionario los	43362	1	1	1.073	0.005
embrionario o	43362	1	1	1.073	0.005
embrionario pero	43362	1	1	1.073	0.005
embrionarios a	43362	1	1	1.073	0.005
embrionarios como	43362	1	1	1.073	0.005
embrionarios incluye	43362	1	1	1.073	0.005
embrionarios infantiles	43362	1	1	1.073	0.005
embrionarios los	43362	1	1	1.073	0.005
embrionarios producen	43362	1	1	1.073	0.005
embrionarios y	43362	1	1	1.073	0.005
emergencia por	43362	1	1	1.073	0.005
emite menos	43362	1	1	1.073	0.005
emite ondas	43362	1	1	1.073	0.005
emite rayos	43362	1	1	1.073	0.005
emite un	43362	1	1	1.073	0.005
emiten las	43362	1	1	1.073	0.005
emiten ondas	43362	1	1	1.073	0.005
emiten radiación	43362	1	1	1.073	0.005
emiten sonidos	43362	1	1	1.073	0.005
emocional algunas	43362	1	1	1.073	0.005
emocional ansiedad	43362	1	1	1.073	0.005
emocional cerca	43362	1	1	1.073	0.005
emocional choque	43362	1	1	1.073	0.005
emocional conocen	43362	1	1	1.073	0.005
emocional del	43362	1	1	1.073	0.005
emocional dolor	43362	1	1	1.073	0.005
emocional en	43362	1	1	1.073	0.005
emocional estudios	43362	1	1	1.073	0.005
emocional los	43362	1	1	1.073	0.005
emocional mental	43362	1	1	1.073	0.005
emocional parto	43362	1	1	1.073	0.005
emocional que	43362	1	1	1.073	0.005
emocional relacionado	43362	1	1	1.073	0.005
emocional sentirse	43362	1	1	1.073	0.005
emocional un	43362	1	1	1.073	0.005
emocionales culturales	43362	1	1	1.073	0.005
emocionales de	43362	1	1	1.073	0.005
emocionales del	43362	1	1	1.073	0.005
emocionales es	43362	1	1	1.073	0.005
emocionales la	43362	1	1	1.073	0.005
emocionales los	43362	1	1	1.073	0.005
emocionales por	43362	1	1	1.073	0.005
emocionales ser	43362	1	1	1.073	0.005
emocionalmente al	43362	1	1	1.073	0.005
emocionalmente el	43362	1	1	1.073	0.005
emocionalmente listos	43362	1	1	1.073	0.005
emocionalmente para	43362	1	1	1.073	0.005
emociones de	43362	1	1	1.073	0.005
emociones diferentes	43362	1	1	1.073	0.005
emociones en	43362	1	1	1.073	0.005
emociones juicio	43362	1	1	1.073	0.005
emociones la	43362	1	1	1.073	0.005
emociones negativas	43362	1	1	1.073	0.005
emociones relacionados	43362	1	1	1.073	0.005
emolientes ayudan	43362	1	1	1.073	0.005
emolientes como	43362	1	1	1.073	0.005
emolientes los	43362	1	1	1.073	0.005
emolientes para	43362	1	1	1.073	0.005
emolientes se	43362	1	1	1.073	0.005
emparejamiento mutaciones	43362	1	1	1.073	0.005
emparejamiento si	43362	1	1	1.073	0.005
emparejaron con	43362	1	1	1.073	0.005
empatía comprender	43362	1	1	1.073	0.005
empedernidos el	43362	1	1	1.073	0.005
empedernidos en	43362	1	1	1.073	0.005
empedernidos es	43362	1	1	1.073	0.005
empeora el	43362	1	1	1.073	0.005
empeora evaluación	43362	1	1	1.073	0.005
empeora incluso	43362	1	1	1.073	0.005
empeora poco	43362	1	1	1.073	0.005
empeora por	43362	1	1	1.073	0.005
empeora tan	43362	1	1	1.073	0.005
empeora use	43362	1	1	1.073	0.005
empeoramiento de	43362	1	1	1.073	0.005
empeoramiento del	43362	1	1	1.073	0.005
empeoramiento pasajero	43362	1	1	1.073	0.005
empeoramiento repentino	43362	1	1	1.073	0.005
empeoran e	43362	1	1	1.073	0.005
empeoran se	43362	1	1	1.073	0.005
empeorando progresivos	43362	1	1	1.073	0.005
empeorando se	43362	1	1	1.073	0.005
empeorando y	43362	1	1	1.073	0.005
empeorar cuando	43362	1	1	1.073	0.005
empeorar en	43362	1	1	1.073	0.005
empeorar la	43362	1	1	1.073	0.005
empeorar las	43362	1	1	1.073	0.005
empeorar lentamente	43362	1	1	1.073	0.005
empeorar más	43362	1	1	1.073	0.005
empeorar o	43362	1	1	1.073	0.005
empeorar y	43362	1	1	1.073	0.005
empeorara pero	43362	1	1	1.073	0.005
empeore obstrucción	43362	1	1	1.073	0.005
empeore tomar	43362	1	1	1.073	0.005
empeoren en	43362	1	1	1.073	0.005
empeoren la	43362	1	1	1.073	0.005
empeoren los	43362	1	1	1.073	0.005
empeoren otros	43362	1	1	1.073	0.005
empeoren se	43362	1	1	1.073	0.005
empeoró durante	43362	1	1	1.073	0.005
empeoró los	43362	1	1	1.073	0.005
empezado un	43362	1	1	1.073	0.005
empezar cualquier	43362	1	1	1.073	0.005
empezar cuando	43362	1	1	1.073	0.005
empezaron a	43362	1	1	1.073	0.005
empezó y	43362	1	1	1.073	0.005
empiece a	43362	1	1	1.073	0.005
empiece antes	43362	1	1	1.073	0.005
empiecen a	43362	1	1	1.073	0.005
empieza al	43362	1	1	1.073	0.005
empieza antes	43362	1	1	1.073	0.005
empieza aproximadamente	43362	1	1	1.073	0.005
empieza con	43362	1	1	1.073	0.005
empieza cuando	43362	1	1	1.073	0.005
empieza después	43362	1	1	1.073	0.005
empieza la	43362	1	1	1.073	0.005
empieza más	43362	1	1	1.073	0.005
empieza o	43362	1	1	1.073	0.005
empieza temprano	43362	1	1	1.073	0.005
empiezan dentro	43362	1	1	1.073	0.005
empiezan la	43362	1	1	1.073	0.005
empiezan rápido	43362	1	1	1.073	0.005
empiezan su	43362	1	1	1.073	0.005
empleaba en	43362	1	1	1.073	0.005
empleado o	43362	1	1	1.073	0.005
empleado ser	43362	1	1	1.073	0.005
empleado sin	43362	1	1	1.073	0.005
empleador cuando	43362	1	1	1.073	0.005
empleador y	43362	1	1	1.073	0.005
empleados para	43362	1	1	1.073	0.005
empleados que	43362	1	1	1.073	0.005
emplean distintos	43362	1	1	1.073	0.005
emplean exámenes	43362	1	1	1.073	0.005
emplean modelos	43362	1	1	1.073	0.005
emplean más	43362	1	1	1.073	0.005
emplean sustancias	43362	1	1	1.073	0.005
emplear uno	43362	1	1	1.073	0.005
